SITE,X,Y,JULIAN,PERIOD,OM,P,K,CA,MG,ZN,soilNA,S,PH,TEXTURE,SAND,CLAY,SILT,LICHEN,LITTER,MOSS,ROAD,ROCK,ROOT,SOIL,STREAM,TRAMPLING,TRASH,WATER,WOOD,WRACKI,CRUSTACEAN,CANOPY,Acer rubrum,Acer saccharinum,Asimina triloba,Carpinus caroliniana,Carya carolinae-septentrionalis,Carya glabra,Carya ovata,Carya pallida,Carya sp,Carya tomentosa ,Cercis canadensis,Cornus florida,Fagus grandifolia,Fraxinus americana,Fraxinus pennsylvanica,Fraxinus sp,Hamamelis virginiana,Ilex decidua ,Liquidambar styraciflua ,Liriodendron tulipfera,Magnolia sp,Morus rubra,Nyssa sylvatica,Pinus taeda,Platanus occidentalis,Prunus americana,Prunus serotina,Quercus alba,Quercus coccinea,Quercus falcata,Quercus lyrata,Quercus marilandica,Quercus nigra,Quercus pagoda,Quercus phellos,Quercus stellata,Quercus velutina,Taxodium distichum,Ulmus alata,Ulmus americana,Ulmus rubra,Ulmus sp,ELEV,WATER 20,WATER 150,WATER 500,TRANSPORT,OWNERSHIP,GRASS,MIXFOR,DEVOP,DECID,WETE,PAST,OPENH20,EVRGRN,SHRSCR,BARREN,DEVLO,WETW,CROP,DEVMED,DEVHI,DISTURB,INTENSITY
1412,1,13,2454256.5,1,2.54,50,152,1190,332,2.2,67,366,5.2,Sandy Loam,0.58,0.12,0.3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,95.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.2,0,10,25,105,MDWFP,1075,67,85,95,888,908,120,0,847,3545,153,134,2093,2110,3944,NONE,NONE
1457,2,18,2454610.5,1,1.86,22,163,2301,990,5,69,268,5.4,Loam,0.48,0.24,0.28,0,56.7,0,0,0,0,10,23.3,0,0,0,10,0,0,97.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,290,USFS,323,127,969,42,1608,175,2666,277,0,4924,1679,391,1440,1844,4024,NONE,NONE
1487,3,13,2454610.5,1,1.73,10,142,1693,224,1.1,55,249,6.2,Sandy Loam,0.66,0.1,0.24,0,86.7,0,0,0,13.3,0,0,0,0,0,0,0,0,90.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,40,MDWFP,1159,60,379,124,1862,1350,1883,0,240,5755,2343,272,4331,4500,6162,NONE,NONE
1531,3,15,2454610.5,1,3.38,32,194,3851,984,5.5,111,487,5.9,Sandy Loam,0.7,0.17,0.14,0,76.7,0,0,0,16.7,3.3,0,0,0,0,3.3,0,0,89.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0.4,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,25,MDWFP,1570,182,85,0,2684,966,1907,90,402,4801,1426,660,3279,2694,4938,FIRE,MED
1539,10,5,2454613.5,1,1.66,52,96,887,331,14.3,94,239,4.2,Sandy Loam,0.61,0.1,0.29,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,245,MDWFP,210,30,513,0,859,553,1861,67,474,3763,570,134,2741,2698,3516,FLOOD,MED
1550,19,14,2454260.5,1,2.98,25,316,3052,1954,6.9,111,429,5,Clay Loam,0.44,0.28,0.28,0,93.3,0,0,0,0,0,0,0,0,0,6.7,0,0,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,120.4,0,0,0,80,USFS,767,30,85,42,1318,781,607,0,540,4508,150,153,551,2643,10671,NONE,NONE
2001,28,20,2454259.5,1,1.52,26,81,127,63,1.2,66,219,4.8,Sandy Loam,0.76,0.08,0.16,0,90,0,0,0,0,10,0,0,0,0,0,0,0,92.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,96,0,0,0,330,USFWS,741,258,330,379,2079,2287,2300,0,451,5304,2864,60,3101,5372,11870,FIRE,MED
2020,32,18,2454258.5,1,1.02,44,110,586,476,3.3,68,147,4.5,Loam,0.41,0.18,0.41,0,90,0,0,0,0,3.3,0,0,0,0,6.7,0,0,98,0,0,0,0,0,0.5,0,0,0,0,0,0,0.1,0,0,0,0,0,1.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,330,USFWS,1822,870,1776,920,987,1771,890,977,1951,7692,3132,0,1998,7371,12961,STORM,MED
2023,32,10,2454238.5,1,4.1,35,278,3126,799,5.1,73,590,5.2,Sandy Loam,0.7,0.15,0.15,0,100,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.4,0,0,0,110,0,0,0,50,USFWS,1624,42,42,30,661,400,3852,30,680,5633,3770,0,1952,10573,17485,NONE,NONE
2028,32,11,2454238.5,1,2.11,21,163,566,427,3.5,94,304,4.2,Loam,0.46,0.23,0.31,0,58.3,0,0,0,41.7,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,106.8,0,0,0,22,USFWS,1736,182,90,573,604,765,3218,30,531,5016,4244,0,2078,9733,17186,STORM,LOW
